node1_path,node1_summary,node2_path,node2_summary,similarity
\doccano-master\backend\api\migrations\0001_initial.py,"The content defines a class ExportedBoundingBox that serves as a proxy model of BoundingBox, providing methods to convert bounding box annotations into dictionary and tuple forms.",\doccano-master\backend\data_export\admin.py,The content provides a proxy model ExportedBoundingBox with methods to convert bounding box annotations into dictionary and tuple forms.,0.9347
\doccano-master\backend\api\migrations\0001_initial.py,"The content defines a class ExportedBoundingBox that serves as a proxy model of BoundingBox, providing methods to convert bounding box annotations into dictionary and tuple forms.",\doccano-master\backend\data_import\admin.py,The content provides a proxy model ExportedBoundingBox that includes methods to convert bounding box annotations into dictionary and tuple forms.,0.9334
\doccano-master\backend\api\migrations\0001_initial.py,"The content defines a class ExportedBoundingBox that serves as a proxy model of BoundingBox, providing methods to convert bounding box annotations into dictionary and tuple forms.",\doccano-master\backend\metrics\admin.py,The content provides a class ExportedBoundingBox that includes methods to convert bounding box annotations into dictionary and tuple formats.,0.9255
\doccano-master\backend\api\migrations\0001_initial.py,"The content defines a class ExportedBoundingBox that serves as a proxy model of BoundingBox, providing methods to convert bounding box annotations into dictionary and tuple forms.",\doccano-master\backend\metrics\models.py,The content provides methods for converting bounding box annotations into dictionary and tuple formats within a proxy model called ExportedBoundingBox.,0.9473
\doccano-master\backend\api\migrations\0001_initial.py,"The content defines a class ExportedBoundingBox that serves as a proxy model of BoundingBox, providing methods to convert bounding box annotations into dictionary and tuple forms.",\doccano-master\backend\social\admin.py,The ExportedBoundingBox class is a proxy model that provides methods to represent bounding box annotations in dictionary and tuple forms.,0.9685
\doccano-master\backend\api\migrations\0001_initial.py,"The content defines a class ExportedBoundingBox that serves as a proxy model of BoundingBox, providing methods to convert bounding box annotations into dictionary and tuple forms.",\doccano-master\backend\social\models.py,The ExportedBoundingBox class extends BoundingBox to represent bounding box annotations as dictionaries and tuples.,0.9004
\doccano-master\backend\api\migrations\0001_initial.py,"The content defines a class ExportedBoundingBox that serves as a proxy model of BoundingBox, providing methods to convert bounding box annotations into dictionary and tuple forms.",\doccano-master\backend\users\admin.py,The content provides a proxy model ExportedBoundingBox that converts bounding box annotations into dictionary and tuple formats.,0.9353
\doccano-master\backend\api\migrations\0001_initial.py,"The content defines a class ExportedBoundingBox that serves as a proxy model of BoundingBox, providing methods to convert bounding box annotations into dictionary and tuple forms.",\doccano-master\backend\users\models.py,"The content provides a class ExportedBoundingBox that acts as a proxy model for BoundingBox, allowing for representation of bounding box annotations in dictionary and tuple forms.",0.9848
\doccano-master\backend\api\migrations\0003_merge_20200612_0205.py,Class Migration: Represents a migration process with dependencies on specific database changes and operations to be performed.,\doccano-master\backend\api\migrations\0010_auto_20210413_0249.py,Class Migration: Represents a migration with dependencies and operations for altering fields in the database schema.,0.9580
\doccano-master\backend\api\migrations\0003_merge_20200612_0205.py,Class Migration: Represents a migration process with dependencies on specific database changes and operations to be performed.,\doccano-master\backend\examples\migrations\0002_alter_example_project.py,Class Migration: A class responsible for managing database schema changes associated with separating database and state operations.,0.9098
