node1_path,node1_summary,node2_path,node2_summary,similarity
\autogluon-master\autogluon\setup.py,"Script for setting up a Python package that dynamically loads versioning and dependency information from a core utilities module to avoid code duplication, with special handling for installation requirements based on the mode of operation.",\autogluon-master\common\setup.py,Script for setting up a Python package that dynamically loads version information and dependency requirements from a utility module to avoid code duplication.,0.8755
\autogluon-master\common\setup.py,Script for setting up a Python package that dynamically loads version information and dependency requirements from a utility module to avoid code duplication.,\autogluon-master\core\setup.py,"Setup script for a Python package that dynamically imports utility functions to manage dependencies and versioning, while providing options for additional features and testing requirements.",0.8523
\autogluon-master\common\setup.py,Script for setting up a Python package that dynamically loads version information and dependency requirements from a utility module to avoid code duplication.,\autogluon-master\eda\setup.py,"Setup script for a Python package that dynamically imports version and dependency information to avoid code duplication and defines installation requirements, including testing dependencies.",0.9153
\autogluon-master\common\setup.py,Script for setting up a Python package that dynamically loads version information and dependency requirements from a utility module to avoid code duplication.,\autogluon-master\tabular\setup.py,"Setup script for a Python package that manages dependencies and versioning using a utility module, while ensuring compatibility across various platforms and optional packages.",0.8607
\autogluon-master\common\src\autogluon\common\loaders\_utils.py,"A collection of utility functions for file operations, including atomic file renaming, error handling, SHA-1 hash computation, robust file downloading, path expansion, and zip file extraction with signature verification.",\autogluon-master\multimodal\src\autogluon\multimodal\utils\download.py,"A collection of utility functions for handling URLs, downloading files, performing atomic file replacements, managing errors, computing SHA-1 checksums, and updating objects with byte counts.",0.8507
\autogluon-master\common\src\autogluon\common\utils\context.py,Function `set_torch_num_threads`: A context manager that adjusts the number of threads for PyTorch during its execution and ensures the original setting is restored afterward.,\autogluon-master\tabular\src\autogluon\tabular\models\_utils\torch_utils.py,"Class `TorchThreadManager`: A context manager that allows the temporary adjustment of the number of threads used by PyTorch, ensuring the original setting is restored upon exiting the context.",0.9023
\autogluon-master\common\tests\conftest.py,"Functions for configuring pytest: `pytest_addoption` adds a command-line option for slow tests, `pytest_configure` sets up a marker for slow tests and adjusts mypy plugin arguments, and `pytest_collection_modifyitems` skips slow tests unless the `--runslow` option is used.",\autogluon-master\core\tests\conftest.py,"Functions for configuring pytest: `pytest_addoption` adds command-line options for slow and skipped tests, `pytest_configure` sets up custom markers and modifies mypy plugin arguments, and `pytest_collection_modifyitems` conditionally skips tests based on those options.",0.9326
\autogluon-master\common\tests\conftest.py,"Functions for configuring pytest: `pytest_addoption` adds a command-line option for slow tests, `pytest_configure` sets up a marker for slow tests and adjusts mypy plugin arguments, and `pytest_collection_modifyitems` skips slow tests unless the `--runslow` option is used.",\autogluon-master\eda\tests\conftest.py,"Functions for configuring pytest to manage slow tests by adding command-line options, markers, and modifying test collection behavior.",0.8592
\autogluon-master\common\tests\conftest.py,"Functions for configuring pytest: `pytest_addoption` adds a command-line option for slow tests, `pytest_configure` sets up a marker for slow tests and adjusts mypy plugin arguments, and `pytest_collection_modifyitems` skips slow tests unless the `--runslow` option is used.",\autogluon-master\features\tests\conftest.py,"Functions for configuring pytest to handle slow tests: `pytest_addoption` adds a command-line option, `pytest_configure` sets up a custom marker, and `pytest_collection_modifyitems` skips slow tests unless the `--runslow` option is used.",0.8960
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A test function that verifies PEP8 style compliance in the codebase and issues warnings if the number of violations surpasses a defined limit.,\autogluon-master\core\tests\test_check_style.py,Function `test_check_style`: A test function that verifies PEP8 style compliance in code and issues warnings for excessive style violations.,0.9229
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A test function that verifies PEP8 style compliance in the codebase and issues warnings if the number of violations surpasses a defined limit.,\autogluon-master\eda\tests\test_check_style.py,"Function `test_check_style`: A test function that checks the codebase for PEP8 style compliance, logs the results, and ensures that the number of style warnings remains within a defined limit.",0.9834
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A test function that verifies PEP8 style compliance in the codebase and issues warnings if the number of violations surpasses a defined limit.,\autogluon-master\features\tests\test_check_style.py,"Function `test_check_style`: A test function that verifies PEP8 style compliance in the codebase, logs the results, and ensures that the number of warnings remains below a defined threshold to maintain code quality.",0.9815
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A test function that verifies PEP8 style compliance in the codebase and issues warnings if the number of violations surpasses a defined limit.,\autogluon-master\multimodal\tests\test_check_style.py,"Function `test_check_style`: A test function that verifies PEP8 style compliance in the codebase, issuing warnings if violations exceed a defined threshold.",0.9937
\autogluon-master\common\tests\test_check_style.py,Function `test_check_style`: A test function that verifies PEP8 style compliance in the codebase and issues warnings if the number of violations surpasses a defined limit.,\autogluon-master\tabular\tests\test_check_style.py,Function `test_check_style`: A test function that verifies PEP8 style compliance in code by logging results and ensuring the number of warnings remains below a defined threshold.,0.9724
\autogluon-master\common\tests\unittests\test_import_version.py,"Function `test_import_version`: A test function that checks whether the version of the `autogluon.common` module is a valid, non-empty string.",\autogluon-master\core\tests\unittests\test_import_version.py,Function `test_import_version`: A test function that checks if the version of the autogluon.core module is a valid non-empty string.,0.9767
\autogluon-master\core\setup.py,"Setup script for a Python package that dynamically imports utility functions to manage dependencies and versioning, while providing options for additional features and testing requirements.",\autogluon-master\eda\setup.py,"Setup script for a Python package that dynamically imports version and dependency information to avoid code duplication and defines installation requirements, including testing dependencies.",0.8935
\autogluon-master\core\src\autogluon\core\models\abstract\abstract_model.py,"Class and functions for a machine learning model: The provided content outlines a comprehensive set of methods for initializing, validating, fitting, predicting, and managing resources and metadata of a machine learning model, including hyperparameter tuning, preprocessing, and saving/loading functionality.",\autogluon-master\core\src\autogluon\core\trainer\abstract_trainer.py,"Class and Function Definitions: A comprehensive suite of methods and functions for managing model training, evaluation, data handling, and model persistence, facilitating the development, calibration, and deployment of machine learning models through structured workflows and utilities.",0.8680
\autogluon-master\core\src\autogluon\core\models\abstract\abstract_model.py,"Class and functions for a machine learning model: The provided content outlines a comprehensive set of methods for initializing, validating, fitting, predicting, and managing resources and metadata of a machine learning model, including hyperparameter tuning, preprocessing, and saving/loading functionality.",\autogluon-master\multimodal\src\autogluon\multimodal\predictor.py,"Class and functions for a machine learning model: Provides initialization, configuration, training, evaluation, and inference methods, along with utilities for managing model artifacts and optimizing performance.",0.8858
\autogluon-master\core\src\autogluon\core\models\ensemble\weighted_ensemble_model.py,"Class `WeightedEnsembleModel`: A meta-model that performs ensemble selection through weighted averaging of predictions from multiple base models, featuring methods for initialization, model fitting, weight computation, feature importance calculation, default parameter settings, and generating out-of-fold predictions.",\autogluon-master\core\src\autogluon\core\models\greedy_ensemble\ensemble_selection.py,"AbstractWeightedEnsemble: A base class for ensemble models that combines weighted predictions, with methods for computing probabilities, training, and optimizing model selection; EnsembleSelection and SimpleWeightedEnsemble are specialized implementations that allow for customizable weighting and selection of predictive models.",0.8542
\autogluon-master\core\tests\conftest.py,"Functions for configuring pytest: `pytest_addoption` adds command-line options for slow and skipped tests, `pytest_configure` sets up custom markers and modifies mypy plugin arguments, and `pytest_collection_modifyitems` conditionally skips tests based on those options.",\autogluon-master\multimodal\tests\conftest.py,"Functions for configuring pytest: `pytest_addoption` adds command-line options for test categorization, `pytest_configure` sets up custom markers for test types, and `pytest_collection_modifyitems` conditionally skips tests based on these options.",0.9165
\autogluon-master\core\tests\test_check_style.py,Function `test_check_style`: A test function that verifies PEP8 style compliance in code and issues warnings for excessive style violations.,\autogluon-master\eda\tests\test_check_style.py,"Function `test_check_style`: A test function that checks the codebase for PEP8 style compliance, logs the results, and ensures that the number of style warnings remains within a defined limit.",0.9238
\autogluon-master\core\tests\test_check_style.py,Function `test_check_style`: A test function that verifies PEP8 style compliance in code and issues warnings for excessive style violations.,\autogluon-master\features\tests\test_check_style.py,"Function `test_check_style`: A test function that verifies PEP8 style compliance in the codebase, logs the results, and ensures that the number of warnings remains below a defined threshold to maintain code quality.",0.8874
